Date,Open,High,Low,Close,Change(Pips),Change(%),
06/07/2023 04:00,173.079,173.112,172.893,172.991,-8.8,-0.05,
06/07/2023 03:00,172.938,173.09,172.88,173.079,14.1,0.08,
06/07/2023 02:00,173.145,173.145,172.91,172.937,-20.8,-0.12,
06/07/2023 01:00,173.25,173.279,172.99,173.142,-10.8,-0.06,
06/07/2023 00:00,173.401,173.53,173.24,173.252,-14.9,-0.09,
06/06/2023 23:00,173.425,173.49925,173.37,173.38,-4.5,-0.03,
06/06/2023 22:00,173.427,173.476,173.36,173.39,-3.7,-0.02,
06/06/2023 21:00,173.47,173.61,173.334,173.425,-4.5,-0.03,
06/06/2023 20:00,173.558,173.561,173.44,173.47,-8.8,-0.05,
06/06/2023 19:00,173.586,173.6293,173.49,173.552,-3.4,-0.02,
06/06/2023 18:00,173.54,173.626,173.41,173.585,4.5,0.03,
06/06/2023 17:00,173.554,173.601,173.43,173.534,-2.0,-0.01,
06/06/2023 16:00,173.419,173.58293,173.34,173.553,13.4,0.08,
06/06/2023 15:00,173.403,173.539,173.3,173.402,-0.1,0.00,
06/06/2023 14:00,173.459,173.669,173.36,173.402,-5.7,-0.03,
06/06/2023 13:00,173.336,173.511,173.17,173.452,11.6,0.07,
06/06/2023 12:00,173.101,173.404,173.07,173.336,23.5,0.14,
06/06/2023 11:00,173.113,173.269,173.03,173.099,-1.4,-0.01,
06/06/2023 10:00,172.859,173.136,172.77,173.112,25.3,0.15,
06/06/2023 09:00,172.914,172.959,172.64,172.82,-9.4,-0.05,
06/06/2023 08:00,173.206,173.212,172.85,172.912,-29.4,-0.17,
06/06/2023 07:00,173.334,173.371,172.88,173.194,-14.0,-0.08,
06/06/2023 06:00,173.603,173.624,173.25,173.334,-26.9,-0.16,
06/06/2023 05:00,173.607,173.661,173.48,173.606,-0.1,0.00,
06/06/2023 04:00,173.609,173.768,173.55854,173.602,-0.7,0.00,
06/06/2023 03:00,173.644,173.66429,173.49,173.605,-3.9,-0.02,
06/06/2023 02:00,173.604,173.71841,173.58,173.651,4.7,0.03,
06/06/2023 01:00,173.538,173.68345,173.48,173.606,6.8,0.04,
06/06/2023 00:00,173.31,173.56798,173.269,173.536,22.6,0.13,
06/05/2023 23:00,173.391,173.391,173.17,173.309,-8.2,-0.05,
06/05/2023 22:00,173.489,173.56,173.37,173.392,-9.7,-0.06,
06/05/2023 21:00,173.55,173.64,173.09,173.472,-7.8,-0.04,
06/05/2023 20:00,173.479,173.569,173.42,173.55,7.1,0.04,
06/05/2023 19:00,173.614,173.614,173.39,173.469,-14.5,-0.08,
06/05/2023 18:00,173.748,173.774,173.46,173.614,-13.4,-0.08,
06/05/2023 17:00,173.73,173.832,173.61,173.73,0,0.00,
06/05/2023 16:00,173.677,173.785,173.53,173.726,4.9,0.03,
06/05/2023 15:00,173.288,173.763,173.26,173.676,38.8,0.22,
06/05/2023 14:00,173.32,173.323,172.83,173.298,-2.2,-0.01,
06/05/2023 13:00,173.454,173.594,173.23,173.313,-14.1,-0.08,
06/05/2023 12:00,173.689,173.785,173.31,173.456,-23.3,-0.13,
06/05/2023 11:00,173.816,173.856,173.63,173.691,-12.5,-0.07,
06/05/2023 10:00,173.865,173.908,173.75,173.814,-5.1,-0.03,
06/05/2023 09:00,174.036,174.066,173.83,173.873,-16.3,-0.09,
06/05/2023 08:00,174.083,174.181,173.84,174.033,-5.0,-0.03,
06/05/2023 07:00,174.14,174.258,173.92,174.09,-5,-0.03,
06/05/2023 06:00,174.11,174.239,174.02658,174.127,1.7,0.01,
06/05/2023 05:00,174.15,174.162,174.0036,174.111,-3.9,-0.02,
06/05/2023 04:00,174.196,174.23287,174.01,174.146,-5.0,-0.03,
06/05/2023 03:00,174.166,174.25,174.11,174.195,2.9,0.02,
06/05/2023 02:00,174.279,174.315,174.13,174.165,-11.4,-0.07,
06/05/2023 01:00,174.168,174.329,174.05,174.275,10.7,0.06,
06/05/2023 00:00,174.279,174.295,174.08,174.169,-11.0,-0.06,
06/04/2023 23:00,174.18,174.295,174.18,174.28,10,0.06,
06/04/2023 22:00,174.241,174.35537,174.178,174.182,-5.9,-0.03,
06/04/2023 21:00,174.36966,174.41892,174.226,174.2699,-9.976,-0.06,
06/04/2023 20:00,174.4572,174.54153,173.977,174.36966,-8.754,-0.05,
06/04/2023 19:00,174.55559,174.62783,174.55051,174.55153,-0.406,0.00,
06/04/2023 09:00,174.26985,174.63783,174.26985,174.63783,36.798,0.21,
06/04/2023 08:00,174.26985,174.63783,174.26985,174.63783,36.798,0.21,
06/04/2023 07:00,174.26985,174.63783,174.26985,174.63783,36.798,0.21,
06/04/2023 06:00,174.26985,174.63783,174.26985,174.63783,36.798,0.21,
06/04/2023 05:00,174.26985,174.63783,174.26985,174.63783,36.798,0.21,
06/04/2023 04:00,174.26985,174.63783,174.26985,174.63783,36.798,0.21,
06/04/2023 03:00,174.26985,174.63783,174.26985,174.63783,36.798,0.21,
06/04/2023 02:00,174.26985,174.63783,174.26985,174.63783,36.798,0.21,
06/04/2023 01:00,174.26985,174.63783,174.26985,174.63783,36.798,0.21,
06/04/2023 00:00,174.26985,174.63783,174.26985,174.63783,36.798,0.21,
06/03/2023 23:00,174.26985,174.63783,174.26985,174.63783,36.798,0.21,
06/03/2023 22:00,174.26985,174.63783,174.26985,174.63783,36.798,0.21,
06/03/2023 21:00,174.26985,174.63783,174.26985,174.63783,36.798,0.21,
06/03/2023 20:00,174.26985,174.63783,174.26985,174.63783,36.798,0.21,
06/03/2023 19:00,174.26985,174.63783,174.26985,174.63783,36.798,0.21,
06/03/2023 18:00,174.26985,174.63783,174.26985,174.63783,36.798,0.21,
06/03/2023 17:00,174.26985,174.63783,174.26985,174.63783,36.798,0.21,
06/03/2023 16:00,174.26985,174.63783,174.26985,174.63783,36.798,0.21,
06/03/2023 15:00,174.26985,174.63783,174.26985,174.63783,36.798,0.21,
06/03/2023 14:00,174.26985,174.63783,174.26985,174.63783,36.798,0.21,
06/03/2023 13:00,174.26985,174.63783,174.26985,174.63783,36.798,0.21,
06/03/2023 12:00,174.15985,174.63783,174.15985,174.63783,47.798,0.27,
06/03/2023 11:00,174.15985,174.25265,174.15985,174.25265,9.280,0.05,
06/03/2023 10:00,174.15985,174.25265,174.15985,174.25265,9.280,0.05,
06/03/2023 09:00,174.15985,174.25265,174.15985,174.25265,9.280,0.05,
06/03/2023 08:00,174.15985,174.25265,174.15985,174.25265,9.280,0.05,
06/03/2023 07:00,174.15985,174.25265,174.15985,174.25265,9.280,0.05,
06/03/2023 06:00,174.15985,174.25265,174.15985,174.25265,9.280,0.05,
06/03/2023 05:00,174.15985,174.25265,174.15985,174.25265,9.280,0.05,
06/03/2023 04:00,174.15985,174.25265,174.15985,174.25265,9.280,0.05,
06/03/2023 03:00,174.15985,174.25265,174.15985,174.25265,9.280,0.05,
06/03/2023 02:00,174.15985,174.25265,174.15985,174.25265,9.280,0.05,
06/03/2023 01:00,174.15985,174.25265,174.15985,174.25265,9.280,0.05,
06/03/2023 00:00,174.25265,174.25265,174.15985,174.25265,0.000,0.00,
06/02/2023 23:00,174.25265,174.25265,174.15985,174.15985,-9.280,-0.05,
06/02/2023 22:00,174.25265,174.25265,174.15985,174.15985,-9.280,-0.05,
06/02/2023 21:00,173.492,174.2603,173.492,174.15985,66.785,0.38,
06/02/2023 20:00,174.262,174.34239,174.144,174.144,-11.8,-0.07,
06/02/2023 19:00,174.232,174.303,174.15,174.26,2.8,0.02,
06/02/2023 18:00,174.294,174.341,174.12,174.237,-5.7,-0.03,
06/02/2023 17:00,174.154,174.313,174.11,174.306,15.2,0.09,
06/02/2023 16:00,174.225,174.296,174.09,174.158,-6.7,-0.04,
06/02/2023 15:00,174.29,174.379,174.1,174.227,-6.3,-0.04,
06/02/2023 14:00,174.541,174.566,174.2,174.292,-24.9,-0.14,
06/02/2023 13:00,174.251,174.679,174.15,174.536,28.5,0.16,
06/02/2023 12:00,173.957,174.327,173.789,174.252,29.5,0.17,
06/02/2023 11:00,173.99,174.098,173.91,173.969,-2.1,-0.01,
06/02/2023 10:00,173.9,174.079,173.86,173.987,8.7,0.05,
06/02/2023 09:00,174.03,174.128,173.83,173.909,-12.1,-0.07,
06/02/2023 08:00,174.116,174.24,173.98,174.035,-8.1,-0.05,
06/02/2023 07:00,174.106,174.19,173.91,174.116,1.0,0.01,
06/02/2023 06:00,174.1,174.188,174.01,174.115,1.5,0.01,
06/02/2023 05:00,174.04,174.188,173.99,174.107,6.7,0.04,
06/02/2023 04:00,173.945,174.06903,173.89,174.039,9.4,0.05,
06/02/2023 03:00,173.968,173.98,173.83,173.944,-2.4,-0.01,
06/02/2023 02:00,174.021,174.082,173.91,173.971,-5.0,-0.03,
06/02/2023 01:00,174.029,174.158,173.92,174.017,-1.2,-0.01,
06/02/2023 00:00,173.775,174.058,173.73,174.031,25.6,0.15,
06/01/2023 23:00,173.835,173.872,173.73669,173.777,-5.8,-0.03,
06/01/2023 22:00,173.868,173.87,173.699,173.846,-2.2,-0.01,
06/01/2023 21:00,173.83,173.99,173.604,173.867,3.7,0.02,
06/01/2023 20:00,173.913,173.935,173.77,173.83,-8.3,-0.05,
06/01/2023 19:00,173.926,173.984,173.75,173.914,-1.2,-0.01,
06/01/2023 18:00,174.011,174.011,173.82,173.927,-8.4,-0.05,
06/01/2023 17:00,173.947,174.024,173.83,174.01,6.3,0.04,
06/01/2023 16:00,173.89,174.084,173.8,173.941,5.1,0.03,
06/01/2023 15:00,173.927,173.998,173.74,173.896,-3.1,-0.02,
06/01/2023 14:00,173.741,174.093,173.284,173.926,18.5,0.11,
06/01/2023 13:00,173.663,173.787,173.444,173.72,5.7,0.03,
06/01/2023 12:00,173.881,174.2,173.591,173.682,-19.9,-0.11,
06/01/2023 11:00,173.919,174.107,173.78,173.886,-3.3,-0.02,
06/01/2023 10:00,173.982,174.106,173.86,173.912,-7.0,-0.04,
06/01/2023 09:00,173.766,173.995,173.67,173.981,21.5,0.12,
06/01/2023 08:00,173.606,173.92,173.42,173.765,15.9,0.09,
06/01/2023 07:00,173.783,173.824,173.52,173.605,-17.8,-0.10,
06/01/2023 06:00,173.581,173.844,173.48,173.784,20.3,0.12,
06/01/2023 05:00,173.321,173.599,173.3,173.588,26.7,0.15,
06/01/2023 04:00,173.428,173.518,173.29,173.315,-11.3,-0.07,
06/01/2023 03:00,173.41,173.54627,173.37,173.427,1.7,0.01,
06/01/2023 02:00,173.384,173.573,173.31,173.425,4.1,0.02,
06/01/2023 01:00,173.131,173.45,173.03,173.396,26.5,0.15,
06/01/2023 00:00,173.148,173.357,173.01,173.13,-1.8,-0.01,
05/31/2023 23:00,173.169,173.22,172.934,173.149,-2.0,-0.01,
05/31/2023 22:00,173.297,173.39,173.12,173.168,-12.9,-0.07,
05/31/2023 21:00,173.34,173.3692,172.971,173.302,-3.8,-0.02,
05/31/2023 20:00,173.291,173.392,173.19921,173.34,4.9,0.03,
05/31/2023 19:00,173.036,173.303,172.93,173.29,25.4,0.15,
05/31/2023 18:00,173.132,173.247,173.0,173.028,-10.4,-0.06,
05/31/2023 17:00,173.06,173.234,172.94,173.116,5.6,0.03,
05/31/2023 16:00,173.232,173.301,173.0,173.075,-15.7,-0.09,
05/31/2023 15:00,173.145,173.34,172.92,173.217,7.2,0.04,
05/31/2023 14:00,173.104,173.625,173.01,173.162,5.8,0.03,
05/31/2023 13:00,172.839,173.434,172.73,173.101,26.2,0.15,
05/31/2023 12:00,172.689,172.932,172.52,172.836,14.7,0.09,
05/31/2023 11:00,173.105,173.125,172.65,172.65,-45.5,-0.26,
05/31/2023 10:00,172.887,173.168,172.72,173.106,21.9,0.13,
05/31/2023 09:00,172.863,173.031,172.8,172.886,2.3,0.01,
05/31/2023 08:00,172.739,172.905,172.5,172.864,12.5,0.07,
05/31/2023 07:00,172.617,172.864,172.5,172.737,12.0,0.07,
05/31/2023 06:00,172.814,172.851,172.52,172.611,-20.3,-0.12,
05/31/2023 05:00,173.232,173.234,172.58,172.822,-41.0,-0.24,
05/31/2023 04:00,173.157,173.29087,173.08,173.236,7.9,0.05,
05/31/2023 03:00,173.21,173.2508,173.09,173.159,-5.1,-0.03,
05/31/2023 02:00,173.332,173.369,173.17,173.211,-12.1,-0.07,
05/31/2023 01:00,173.496,173.652,173.29,173.333,-16.3,-0.09,
05/31/2023 00:00,173.505,173.605,173.35646,173.492,-1.3,-0.01,
05/30/2023 23:00,173.416,173.525,173.35414,173.507,9.1,0.05,
05/30/2023 22:00,173.496,173.55358,173.35,173.41,-8.6,-0.05,
05/30/2023 21:00,173.49,173.64915,173.32,173.49,0,0.00,
05/30/2023 20:00,173.415,173.517,173.37,173.49,7.5,0.04,
05/30/2023 19:00,173.296,173.422,173.21,173.40734,11.134,0.06,
05/30/2023 18:00,173.098,173.359,173.04,173.299,20.1,0.12,
05/30/2023 17:00,173.457,173.472,173.06,173.114,-34.3,-0.20,
05/30/2023 16:00,173.41,173.524,173.18,173.472,6.2,0.04,
05/30/2023 15:00,173.459,173.521,173.25,173.412,-4.7,-0.03,
05/30/2023 14:00,173.909,174.08,173.28,173.457,-45.2,-0.26,
05/30/2023 13:00,173.702,174.024,173.68,173.906,20.4,0.12,
05/30/2023 12:00,173.653,173.87,173.59412,173.717,6.4,0.04,
05/30/2023 11:00,174.123,174.192,173.6,173.656,-46.7,-0.27,
05/30/2023 10:00,174.06,174.275,173.99,174.136,7.6,0.04,
05/30/2023 09:00,173.477,174.148,173.4,174.06,58.3,0.33,
05/30/2023 08:00,173.302,173.501,173.213,173.478,17.6,0.10,
05/30/2023 07:00,173.338,173.43,172.97,173.26,-7.8,-0.05,
05/30/2023 06:00,173.481,173.818,173.168,173.342,-13.9,-0.08,
05/30/2023 05:00,173.386,173.494,173.28,173.462,7.6,0.04,
05/30/2023 04:00,173.177,173.4,173.15,173.386,20.9,0.12,
05/30/2023 03:00,173.189,173.21413,173.06,173.177,-1.2,-0.01,
05/30/2023 02:00,173.287,173.303,173.14,173.185,-10.2,-0.06,
05/30/2023 01:00,173.312,173.358,173.15,173.283,-2.9,-0.02,
05/30/2023 00:00,173.441,173.601,173.24,173.311,-13.0,-0.08,
05/29/2023 23:00,173.58,173.598,173.36408,173.442,-13.8,-0.08,
05/29/2023 22:00,173.452,173.615,173.405,173.582,13.0,0.07,
05/29/2023 21:00,173.5,173.598,173.28874,173.46,-4,-0.02,
05/29/2023 20:00,173.526,173.549,173.44,173.5,-2.6,-0.01,
05/29/2023 19:00,173.486,173.54,173.40753,173.54,5.4,0.03,
05/29/2023 18:00,173.482,173.509,173.42523,173.483,0.1,0.00,
05/29/2023 17:00,173.454,173.495,173.38947,173.483,2.9,0.02,
05/29/2023 16:00,173.41,173.494,173.34,173.453,4.3,0.02,
05/29/2023 15:00,173.25,173.4218,173.23,173.405,15.5,0.09,
05/29/2023 14:00,173.121,173.288,173.07,173.264,14.3,0.08,
05/29/2023 13:00,173.107,173.146,172.95,173.122,1.5,0.01,
05/29/2023 12:00,173.114,173.159,172.92,173.096,-1.8,-0.01,
05/29/2023 11:00,173.179,173.20348,173.03,173.12,-5.9,-0.03,
05/29/2023 10:00,173.134,173.205,173.07,173.178,4.4,0.03,
05/29/2023 09:00,173.248,173.292,172.98,173.135,-11.3,-0.07,
05/29/2023 08:00,173.34,173.47188,173.21,173.238,-10.2,-0.06,
05/29/2023 07:00,173.54,173.615,173.24,173.335,-20.5,-0.12,
05/29/2023 06:00,173.381,173.575,173.33,173.544,16.3,0.09,
05/29/2023 05:00,173.474,173.52,173.36,173.382,-9.2,-0.05,
05/29/2023 04:00,173.582,173.636,173.39,173.474,-10.8,-0.06,
05/29/2023 03:00,173.532,173.65326,173.5,173.584,5.2,0.03,
05/29/2023 02:00,173.595,173.653,173.42,173.53,-6.5,-0.04,
05/29/2023 01:00,173.763,173.793,173.49,173.597,-16.6,-0.10,
05/29/2023 00:00,173.899,173.927,173.68,173.768,-13.1,-0.08,
05/28/2023 23:00,173.781,173.953,173.754,173.917,13.6,0.08,
05/28/2023 22:00,173.67,173.962,173.67,173.781,11.1,0.06,
05/28/2023 21:00,173.57652,173.66569,173.418,173.655,7.848,0.05,
05/28/2023 20:00,173.68785,173.8104,173.488,173.57652,-11.133,-0.06,
05/28/2023 19:00,173.74758,173.8104,173.463,173.8104,6.282,0.04,
05/28/2023 18:00,173.72258,173.73258,173.72258,173.73258,1.000,0.01,
05/28/2023 17:00,173.72258,173.73258,173.65876,173.73258,1.000,0.01,
05/28/2023 16:00,173.86973,173.86973,173.65876,173.73258,-13.715,-0.08,
05/28/2023 09:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/28/2023 08:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/28/2023 07:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/28/2023 06:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/28/2023 05:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/28/2023 04:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/28/2023 03:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/28/2023 02:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/28/2023 01:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/28/2023 00:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/27/2023 23:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/27/2023 22:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/27/2023 21:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/27/2023 20:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/27/2023 19:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/27/2023 18:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/27/2023 17:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/27/2023 16:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/27/2023 15:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/27/2023 14:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/27/2023 13:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/27/2023 12:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/27/2023 11:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/27/2023 10:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/27/2023 09:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/27/2023 08:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/27/2023 07:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/27/2023 06:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/27/2023 05:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/27/2023 04:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/27/2023 03:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/27/2023 02:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/27/2023 01:00,173.5964,173.65968,173.5964,173.65968,6.328,0.04,
05/27/2023 00:00,173.65968,173.65968,173.5964,173.65968,0.000,0.00,
05/26/2023 23:00,173.65968,173.65968,173.5964,173.5964,-6.328,-0.04,
05/26/2023 22:00,173.5964,173.65968,173.5964,173.5964,0.00,0.00,
05/26/2023 21:00,173.57,173.73726,173.56038,173.65968,8.968,0.05,
05/26/2023 20:00,173.593,173.708,172.33,173.62,2.7,0.02,
05/26/2023 19:00,173.661,173.72962,173.55,173.618,-4.3,-0.02,
05/26/2023 18:00,173.721,173.76245,173.61,173.671,-5.0,-0.03,
05/26/2023 17:00,173.533,173.748,173.46,173.69,15.7,0.09,
05/26/2023 16:00,173.384,173.578,173.34,173.516,13.2,0.08,
05/26/2023 15:00,173.237,173.439,173.15,173.386,14.9,0.09,
05/26/2023 14:00,173.145,173.277,172.89,173.236,9.1,0.05,
05/26/2023 11:00,172.953,172.955,172.924,172.924,-2.9,-0.02,
05/26/2023 10:00,172.632,172.633,172.599,172.622,-1.0,-0.01,
05/26/2023 09:00,172.596,172.616,172.53,172.603,0.7,0.00,
05/26/2023 08:00,172.294,172.313,172.293,172.307,1.3,0.01,
05/26/2023 07:00,172.373,172.382,172.34,172.359,-1.4,-0.01,
05/26/2023 06:00,172.368,172.425,172.31,172.415,4.7,0.03,
05/26/2023 05:00,172.342,172.357,172.314,172.347,0.5,0.00,
05/26/2023 04:00,172.392,172.425,172.36,172.411,1.9,0.01,
05/26/2023 03:00,172.379,172.387,172.346,172.38,0.1,0.00,
05/26/2023 02:00,172.422,172.456,172.421,172.421,-0.1,0.00,
05/26/2023 01:00,172.341,172.389,172.319,172.354,1.3,0.01,
05/26/2023 00:00,172.454,172.46,172.405,172.405,-4.9,-0.03,
05/25/2023 23:00,172.421,172.531,172.33,172.419,-0.2,0.00,
